title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
Butter,BTS,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.695,109.997,164442,4
The Feels,TWICE,0.808,0.903,9,-2.179,1,0.0729,0.0899,0.922,120.044,198053,4
Savage,aespa,0.727,0.879,9,-1.167,1,0.129,0.124,0.671,146.959,238144,4
Permission to Dance,BTS,0.702,0.741,9,-5.33,1,0.0427,0.00544,0.646,124.925,187585,4
In the morning,ITZY,0.846,0.814,6,-4.685,0,0.149,0.0823,0.722,140.055,172373,4
Alcohol-Free,TWICE,0.688,0.909,8,-1.992,1,0.0624,0.0474,0.702,97.097,210573,4
MONEY,LISA,0.826,0.553,1,-10.121,0,0.234,0.163,0.4,140.037,168228,4
ELEVEN,IVE,0.828,0.731,9,-3.033,1,0.111,0.0617,0.587,119.978,178453,4
Queendom,Red Velvet,0.695,0.896,5,-1.24,1,0.0847,0.179,0.508,119.959,181760,4
Celebrity,IU,0.73,0.784,9,-2.62,1,0.0691,0.191,0.673,99.995,195547,4
Hot Sauce,NCT DREAM,0.769,0.926,6,-1.627,1,0.0788,0.0127,0.551,100.034,195813,4
LILAC,IU,0.738,0.89,2,-2.275,0,0.0748,0.0895,0.75,114.942,214253,4
On The Ground,ROSÉ,0.311,0.607,1,-6.578,1,0.11,0.0174,0.286,188.7,168086,4
Weekend,TAEYEON,0.74,0.854,8,-2.209,1,0.0525,0.0783,0.856,114.029,233413,4
ASAP,STAYC,0.764,0.802,0,-4.217,1,0.0351,0.102,0.323,132.02,194080,4
DUMB DUMB,JEON SOMI,0.85,0.734,2,-6.415,1,0.0491,0.0221,0.406,103.027,149214,4
After School,Weeekly,0.634,0.928,1,-1.609,1,0.0514,0.00719,0.738,164.007,205373,4
Hello Future,NCT DREAM,0.545,0.803,1,-2.283,1,0.0526,0.0261,0.5,170.006,220920,4
STEREOTYPE,STAYC,0.605,0.805,6,-3.212,1,0.0641,0.313,0.738,148.298,191696,4
FEVER,ENHYPEN,0.6,0.713,6,-5.079,0,0.0592,0.0642,0.471,72.999,172107,4
0X1=LOVESONG (I Know I Love You) feat. Seori,TOMORROW X TOGETHER,0.584,0.836,0,-4.925,1,0.079,0.0558,0.484,104.973,202204,4
Ready to love,SEVENTEEN,0.668,0.705,9,-5.731,0,0.0356,0.0274,0.549,129.984,186760,4
Dont Call Me,SHINee,0.69,0.783,2,-2.076,1,0.0641,0.0127,0.306,82.026,220173,4
SCIENTIST,TWICE,0.786,0.858,11,-3.74,1,0.0675,0.0487,0.649,112.999,194600,4
Drunk-Dazed,ENHYPEN,0.599,0.869,5,-5.174,0,0.0618,0.000707,0.453,132.889,193260,4
LOCO,ITZY,0.759,0.886,1,-3.067,1,0.187,0.0103,0.489,102.065,191462,4
LALISA,LISA,0.804,0.652,8,-6.282,1,0.0898,0.0267,0.854,150.076,200690,4
Dont fight the feeling,EXO,0.707,0.838,9,-2.983,0,0.117,0.0585,0.832,128.007,176547,4
Gone,ROSÉ,0.647,0.377,6,-6.003,1,0.0375,0.594,0.653,79.936,207164,4
Rollin,Brave Girls,0.691,0.875,1,-3.887,1,0.101,0.0356,0.489,124.954,197711,4
O.O.O (Over&Over&Over),Girls Planet 999,0.643,0.963,7,-3.059,1,0.0965,0.00509,0.63,127.933,247360,4
LO$ER=LO♡ER,TOMORROW X TOGETHER,0.644,0.867,11,-4.18,0,0.0383,0.001,0.687,124.997,199919,4
Thunderous,Stray Kids,0.601,0.786,1,-3.706,1,0.234,0.213,0.79,172.156,183267,4
Anti-Romantic,TOMORROW X TOGETHER,0.641,0.489,0,-8.668,0,0.11,0.0509,0.206,142.977,215188,4
Im Not Cool,HyunA,0.883,0.845,11,-2.069,1,0.0585,0.0161,0.656,116.004,174173,4
Life Is Still Going On,NCT DREAM,0.681,0.749,0,-3.436,0,0.0701,0.158,0.676,150.039,218587,4
Rock with you,SEVENTEEN,0.621,0.816,11,-5.242,1,0.104,0.0966,0.694,163.966,180360,4
strawberry moon,IU,0.475,0.712,6,-3.306,1,0.0431,0.138,0.443,169.796,205333,4
Fireworks (Im The One),ATEEZ,0.724,0.904,0,-3.815,1,0.0872,0.0419,0.728,130.036,209575,4
Bambi,BAEKHYUN,0.438,0.632,7,-4.447,0,0.0417,0.434,0.386,61.45,213053,4
Advice,TAEMIN,0.659,0.821,9,-2.215,0,0.0468,0.406,0.353,161.983,191640,4
U+Me=LOVE,7 LOVE Minutes,0.772,0.852,2,-4.041,0,0.0618,0.0474,0.359,119.957,190400,4
Sticker,NCT 127,0.527,0.769,2,-0.419,1,0.28,0.311,0.719,156.032,227773,4
Snake,Medusa,0.766,0.854,2,-4.129,0,0.0802,0.0567,0.764,109.982,209760,4
Dun Dun Dance,OH MY GIRL,0.647,0.957,1,-0.384,0,0.0819,0.169,0.764,114.968,220560,4
TAIL,SUNMI,0.515,0.858,9,-3.136,1,0.19,0.0435,0.428,125.07,190960,4
Favorite (Vampire),NCT 127,0.561,0.758,5,-3.87,0,0.0478,0.000831,0.178,149.944,215587,4
NAKKA (with IU),"AKMU, IU",0.816,0.636,10,-6.95,0,0.101,0.0732,0.499,100.923,212807,4
PING PONG,HyunA&DAWN,0.855,0.87,10,-2.059,0,0.0826,0.0122,0.863,103.028,158253,4
WOLFGANG,Stray Kids,0.524,0.848,2,-3.48,0,0.122,0.0535,0.135,161.672,190865,4
